sido,gu,dong
경기도,고양시 덕양구,20
경기도,과천시,3
경기도,광명시,41
경기도,구리시,14
경기도,부천시,13
경기도,성남시 수정구,4
경기도,안양시 만안구,4
경기도,의정부시,40
경기도,하남시,59
서울특별시,강남구,2491
서울특별시,강동구,1434
서울특별시,강북구,895
서울특별시,강서구,1535
서울특별시,관악구,811
서울특별시,광진구,927
서울특별시,구로구,1440
서울특별시,금천구,757
서울특별시,노원구,1325
서울특별시,도봉구,861
서울특별시,동대문구,1163
서울특별시,동작구,926
서울특별시,마포구,1542
서울특별시,서대문구,947
서울특별시,서초구,1796
서울특별시,성동구,963
서울특별시,성북구,1552
서울특별시,송파구,1675
서울특별시,양천구,1382
서울특별시,영등포구,1847
서울특별시,용산구,944
서울특별시,은평구,1279
서울특별시,종로구,962
서울특별시,중구,1263
서울특별시,중랑구,1218
