gu,living_people,temp,older,cluster,pca_x,pca_y,silhouette_coeff
강남구,1077418,30.0,66957,3,608425.4232392627,4521.995622887001,0.0
강동구,460311,29.7,58669,0,-8697.584747424244,-2473.2464935074577,0.3766139368544911
강북구,281082,30.0,58103,1,-187885.6445299894,-6345.458717848446,0.5892109814818576
강서구,536642,29.6,79445,0,68124.46240361997,-21352.78061073692,0.6257939602676414
관악구,459137,28.5,71888,0,-9543.898096283008,-15717.263664000846,0.34600606434952036
광진구,386108,29.9,45432,1,-83205.60492292338,8922.292420175005,0.5943160338080012
구로구,423812,29.9,61105,1,-45125.07355113426,-5812.28173134418,0.1927747188778495
금천구,266630,29.7,35354,1,-202896.52019284377,16038.707935880213,0.5555506792270596
노원구,484912,29.5,77032,0,16350.573614398982,-20221.45014024838,0.5439439435345086
도봉구,269794,29.5,55926,1,-199224.089901688,-4448.63781149759,0.5706783211886537
동대문구,389880,29.7,56991,1,-79148.53946367047,-2539.7617094267302,0.5902854940844865
동작구,387751,30.2,59265,1,-81220.57825731405,-4865.782394948058,0.6005584514523732
마포구,535122,29.8,50544,0,65889.28671516597,7501.719742942213,0.6523133703852956
서대문구,422388,29.6,50045,1,-46822.502802225616,5209.066185979914,0.21106078848551235
서초구,752815,30.3,54663,2,283617.53142040374,8774.460553201277,0.8327734994625617
성동구,363937,29.6,42629,1,-105439.2142437262,11175.438347184114,0.6516121653740409
성북구,411808,29.3,67646,1,-56963.42571678971,-12648.517174370589,0.3756720017517785
송파구,784701,30.0,81211,2,316151.1316546474,-16975.843441382945,0.8524180715837805
양천구,374994,30.2,57941,1,-94006.4513581968,-3858.0750726949123,0.64326981292488
영등포구,599055,30.3,54906,0,129910.69461957717,4724.155533897478,0.3593338530540489
용산구,358819,30.1,37212,1,-110689.779808759,16464.04631722744,0.643783117627455
은평구,401824,29.1,77263,1,-66706.22985699167,-22509.790545400687,0.45327233643725107
종로구,457345,30.0,26572,0,-12457.45588174109,29540.46828767832,0.2838768660420623
중구,511576,28.7,21750,0,41637.5141812039,35703.84875412774,0.5878167851494436
중랑구,328818,30.3,61748,1,-140074.0245165783,-8807.310193773037,0.6429511218564223
