,MGRNU,STAT_CDE,A004_KND_C,HOL,VEL,AW_SN_QUA,AW_SN_LENX,EVE_CDE,OD_PE_CDE,GU_CDE,DONG_CDE,JIBUN,NW_PE_CDE,WORK_CDE,VIEW_CDE,ROD_GBN_CD,TFC_BSS_CD,SIXID,ESB_YMD,CAE_YMD,HISID,CTK_MGRNU,CRS_MGRNU,FRM_CDE,CSS_CDE,RN_CDE,MNG_AGEN
0,06-0000030029,1.0,2.0,0.0,0.0,4.0,1.0,1.0,390.0,380,11200.0,59-15??,390,1,2,1,108,2455975.0,,,97690,2008-1108-025,06-030029,4.0,7620.0,,
1,06-0000000856,1.0,2.0,15.0,8.0,4.0,2.0,1.0,140.0,410,12000.0,319-16??,140,1,2,1,108,2361973.0,,,80290,2014-0107-077,06-000856,5.0,,,
2,06-0000029775,1.0,1.0,0.0,0.0,0.0,1.0,1.0,170.0,560,11000.0,7-6??,170,1,2,1,104,,,,37239,2008-0108-593,06-029775,4.0,,,
3,06-0000029776,1.0,1.0,0.0,0.0,0.0,1.0,1.0,170.0,560,11000.0,7-1??,170,1,2,1,104,,,,37240,2008-0108-593,06-029776,4.0,,,
4,06-0000029777,1.0,2.0,0.0,0.0,4.0,6.0,1.0,350.0,470,10200.0,121-1??,350,1,2,1,104,1295602.0,,,70922,2010-0108-082,06-029777,4.0,5392.0,,
5,06-0000029779,1.0,3.0,0.0,0.0,0.0,1.0,1.0,280.0,680,10100.0,807-16 ??,410,1,2,2,106,,,,40220,2008-0512-002,06-029779,5.0,,,
6,06-0000029780,1.0,3.0,0.0,0.0,0.0,1.0,1.0,280.0,680,10100.0,807-22 ??,410,1,2,2,106,,,,40156,2008-0512-002,06-029780,5.0,,,
7,06-0000029781,1.0,3.0,0.0,0.0,0.0,1.0,1.0,280.0,680,10800.0,280 ??,280,1,2,2,106,,,,41058,2008-0512-002,06-029781,1.0,,,
8,06-0000029782,1.0,3.0,0.0,0.0,0.0,1.0,1.0,280.0,680,10800.0,280-10 ??,280,1,2,2,106,,,,41057,2008-0512-002,06-029782,1.0,,,
9,06-0000029926,1.0,2.0,0.0,0.0,0.0,1.0,1.0,310.0,740,10900.0,34-10??,310,3,2,1,106,,,,96212,2012-1004-002,06-029926,5.0,,,
10,06-0000029927,1.0,3.0,0.0,0.0,0.0,1.0,1.0,310.0,740,10900.0,31-8??,310,1,2,1,106,6255856.0,,,81574,2000-0000-000,06-029927,4.0,,,
11,06-0000029929,1.0,3.0,0.0,0.0,0.0,1.0,1.0,310.0,740,10900.0,31-8??,310,1,2,1,106,6255855.0,,,97749,2000-0000-000,06-029929,1.0,,,
